student_id,student_name,parent_phone,facilitator_email,campus_id,risk_level,whatsapp_message,generated_by
S049,Yousef Al-Mutlaq,+966501234549,facilitator3@noon.com,C02,HIGH,We want to check in with S049 about their learning journey. We've noticed they could benefit from more consistent practice and support. Let's talk this week about strategies to help them succeed in their Remedial coursework.,llm
S054,Sara Al-Khalifa,+966501234554,facilitator3@noon.com,C02,HIGH,"We'd like to check in with S054 about their progress. While they're engaging with practice, we want to ensure they're getting the most from their learning. Let's talk this week about how to strengthen their performance.",llm
S061,Yousef Al-Juhani,+966501234561,facilitator3@noon.com,C02,HIGH,Hello! We'd like to connect with you about S061's academic progress. We've noticed some challenges recently and want to work together to provide the right support. Could we schedule a brief conversation this week?,llm
S066,Sara Al-Anzi,+966501234566,facilitator3@noon.com,C02,HIGH,"Hi! We'd like to connect with you about S066's learning. They're putting in effort with practice, but we want to help them see better results. Let's meet this week to discuss strategies that will help them succeed.",llm
S069,Abdullah Al-Mutlaq,+966501234569,facilitator3@noon.com,C02,HIGH,We're reaching out because we care about S069's progress. We've noticed some changes in their attendance and practice habits recently. Let's connect this week to explore how we can best support them in achieving their learning goals.,llm
S073,Yousef Al-Saud,+966501234573,facilitator3@noon.com,C02,HIGH,We're reaching out to support S073's learning. We've noticed a dip in their engagement with practice activities. Let's connect this week to discuss how we can make learning more accessible and help them progress.,llm
S078,Sara Al-Shammari,+966501234578,facilitator4@noon.com,C03,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S084,Amal Al-Subai,+966501234584,facilitator4@noon.com,C03,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S089,Omar Al-Qaisi,+966501234589,facilitator4@noon.com,C03,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S091,Khalid Al-Thani,+966501234591,facilitator4@noon.com,C03,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S093,Abdullah Al-Rashidi,+966501234593,facilitator4@noon.com,C03,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S096,Amal Al-Salem,+966501234596,facilitator4@noon.com,C03,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S105,Abdullah Al-Otaibi,+966501234605,facilitator5@noon.com,C03,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S108,Amal Al-Subai,+966501234608,facilitator5@noon.com,C03,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S113,Omar Al-Qaisi,+966501234613,facilitator5@noon.com,C03,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S120,Amal Al-Salem,+966501234620,facilitator6@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S123,Ahmad Al-Dossari,+966501234623,facilitator6@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S126,Sara Al-Shammari,+966501234626,facilitator6@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S129,Abdullah Al-Otaibi,+966501234629,facilitator6@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S132,Amal Al-Subai,+966501234632,facilitator6@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S134,Layla Al-Khaldi,+966501234634,facilitator6@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S137,Omar Al-Qaisi,+966501234637,facilitator6@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S140,Maryam Al-Mansour,+966501234640,facilitator6@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S144,Amal Al-Salem,+966501234644,facilitator7@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S145,Yousef Al-Harbi,+966501234645,facilitator7@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S149,Omar Al-Qahtani,+966501234649,facilitator7@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S152,Maryam Al-Maliki,+966501234652,facilitator7@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S155,Hassan Al-Balawi,+966501234655,facilitator7@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S159,Ahmad Al-Anzi,+966501234659,facilitator7@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S162,Sara Al-Mutlaq,+966501234662,facilitator7@noon.com,C04,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S166,Nora Al-Saud,+966501234666,facilitator8@noon.com,C05,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S171,Ahmad Al-Dossari,+966501234671,facilitator8@noon.com,C05,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S174,Sara Al-Shammari,+966501234674,facilitator8@noon.com,C05,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S177,Abdullah Al-Otaibi,+966501234677,facilitator8@noon.com,C05,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S182,Layla Al-Khaldi,+966501234682,facilitator8@noon.com,C05,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S185,Omar Al-Qaisi,+966501234685,facilitator8@noon.com,C05,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S188,Maryam Al-Mansour,+966501234688,facilitator8@noon.com,C05,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S190,Nora Al-Saud,+966501234690,facilitator8@noon.com,C05,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S194,Layla Al-Mutairi,+966501234694,facilitator8@noon.com,C05,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
S199,Khalid Al-Zahrani,+966501234699,facilitator8@noon.com,C05,HIGH,"Dear parent, we hope your child is doing well. We wanted to share that we have been keeping a close eye on their learning progress and would love to connect briefly to support them further. If you have a few minutes this week, please let us know a good time to chat. We are committed to helping your child succeed.",template
